Name,Salary,Position,Team,Opponent,FPPG
Wilmer Flores,2700,2B,ARI,SFG,11.05
Nick Ahmed,3300,SS,ARI,SFG,9.88
Jarrod Dyson,2800,OF,ARI,SFG,10.77
Jake Lamb,2900,1B,ARI,SFG,10.11
Eduardo Escobar,3900,3B,ARI,SFG,11.36
David Peralta,3100,OF,ARI,SFG,11.85
Alex Avila,2500,C,ARI,SFG,9.63
Adam Jones,2700,OF,ARI,SFG,10.03
Tyler Flowers,2400,C,ATL,LOS,7.81
Ronald Acuna Jr.,4500,OF,ATL,LOS,13.12
Ozzie Albies,3700,2B,ATL,LOS,10.58
Josh Donaldson,3700,3B,ATL,LOS,11.54
Freddie Freeman,4300,1B,ATL,LOS,12.88
Charlie Culberson,2000,SS,ATL,LOS,8.31
Adeiny Hechavarria,2200,2B,ATL,LOS,7.12
Adam Duvall,2900,OF,ATL,LOS,10.42
Trey Mancini,4000,1B,BAL,BOS,10.97
Stevie Wilkerson,2200,OF,BAL,BOS,7.8
Richie Martin,2000,SS,BAL,BOS,6.18
Renato Nunez,3000,3B,BAL,BOS,10.61
Pedro Severino,3100,C,BAL,BOS,8.34
Jonathan Villar,3500,SS,BAL,BOS,9.83
Hanser Alberto,2900,2B,BAL,BOS,9.91
DJ Stewart,2000,OF,BAL,BOS,10.06
Anthony Santander,3200,OF,BAL,BOS,10.27
Xander Bogaerts,4200,SS,BOS,BAL,13.59
Rafael Devers,4400,3B,BOS,BAL,16.58
Mookie Betts,4100,OF,BOS,BAL,15.08
Mitch Moreland,3200,1B,BOS,BAL,11.54
Jackie Bradley Jr.,2500,OF,BOS,BAL,11.15
J.D. Martinez,4300,OF,BOS,BAL,15.27
Christian Vazquez,2800,C,BOS,BAL,11.02
Brock Holt,2200,2B,BOS,BAL,9.54
Andrew Benintendi,3700,OF,BOS,BAL,12.99
Trevor Story,4500,SS,COL,MIA,16.89
Tony Wolters,2700,C,COL,MIA,9.68
Ryan McMahon,3700,2B,COL,MIA,13.43
Raimel Tapia,3300,OF,COL,MIA,12.83
Nolan Arenado,4600,3B,COL,MIA,15.4
Ian Desmond,3600,OF,COL,MIA,11.91
Daniel Murphy,3200,1B,COL,MIA,13.82
Charlie Blackmon,4700,OF,COL,MIA,17.79
Yolmer Sanchez,2300,2B,CWS,LAA,8.15
Welington Castillo,2600,C,CWS,LAA,8.91
Tim Anderson,3100,SS,CWS,LAA,11.54
Ryan Goins,2400,3B,CWS,LAA,8.94
Leury Garcia,3000,OF,CWS,LAA,10.19
Jose Abreu,4000,1B,CWS,LAA,11.76
James McCann,3000,C,CWS,LAA,9.26
Eloy Jimenez,3300,OF,CWS,LAA,10.68
Adam Engel,2000,OF,CWS,LAA,8.67
Whit Merrifield,3500,OF,KAN,NYM,10.11
Ryan O'Hearn,2400,1B,KAN,NYM,7.98
Nicky Lopez,2100,2B,KAN,NYM,7.5
Meibrys Viloria,2400,C,KAN,NYM,6.65
Jorge Soler,3600,OF,KAN,NYM,9.11
Hunter Dozier,3900,3B,KAN,NYM,9.13
Cheslor Cuthbert,2500,1B,KAN,NYM,7.88
Alex Gordon,2900,OF,KAN,NYM,8.65
Wilfredo Tovar,2000,SS,LAA,CWS,7.74
Mike Trout,4900,OF,LAA,CWS,16.56
Max Stassi,2200,C,LAA,CWS,6.97
Luis Rengifo,2700,2B,LAA,CWS,9.5
Kole Calhoun,3200,OF,LAA,CWS,12.15
Justin Upton,3500,OF,LAA,CWS,12.15
David Fletcher,3000,SS,LAA,CWS,10.64
Brian Goodwin,2300,OF,LAA,CWS,11.03
Albert Pujols,3300,1B,LAA,CWS,10.57
Russell Martin,2200,C,LOS,ATL,8.93
Max Muncy,3800,2B,LOS,ATL,14.9
Matt Beaty,2600,1B,LOS,ATL,10.6
Justin Turner,3600,3B,LOS,ATL,12.29
Joc Pederson,2900,OF,LOS,ATL,12.81
Edwin Rios,2400,1B,LOS,ATL,11.78
Corey Seager,3400,SS,LOS,ATL,12.42
Cody Bellinger,4700,OF,LOS,ATL,16.23
Starlin Castro,3000,2B,MIA,COL,11.49
Neil Walker,2800,1B,MIA,COL,10.62
Lewis Brinson,2600,OF,MIA,COL,10.37
Jorge Alfaro,2800,C,MIA,COL,10.68
Jon Berti,3400,SS,MIA,COL,13.92
Garrett Cooper,3000,1B,MIA,COL,12.14
Curtis Granderson,3200,OF,MIA,COL,12.32
Brian Anderson,3400,3B,MIA,COL,12.86
Yasmani Grandal,3300,C,MIL,WAS,12.57
Trent Grisham,3300,OF,MIL,WAS,14.65
Ryan Braun,2900,OF,MIL,WAS,11.44
Orlando Arcia,2400,SS,MIL,WAS,8.62
Mike Moustakas,3400,3B,MIL,WAS,13.51
Keston Hiura,3600,2B,MIL,WAS,14.07
Eric Thames,3000,1B,MIL,WAS,11.81
Christian Yelich,4600,OF,MIL,WAS,16.08
Mitch Garver,3400,C,MIN,TEX,13.87
Miguel Sano,3500,3B,MIN,TEX,15.27
Max Kepler,4000,OF,MIN,TEX,15.6
Marwin Gonzalez,3000,1B,MIN,TEX,11.55
Luis Arraez,3100,2B,MIN,TEX,11.72
Jorge Polanco,3800,SS,MIN,TEX,12.49
Jake Cave,2000,OF,MIN,TEX,11.51
Eddie Rosario,4000,OF,MIN,TEX,15.65
C.J. Cron,3200,1B,MIN,TEX,12.13
Wilson Ramos,2700,C,NYM,KAN,10.4
Todd Frazier,2900,3B,NYM,KAN,9.4
Pete Alonso,4100,1B,NYM,KAN,12.71
Michael Conforto,3400,OF,NYM,KAN,11.87
Luis Guillorme,2100,SS,NYM,KAN,8.78
Juan Lagares,2100,OF,NYM,KAN,7.67
Joe Panik,2300,2B,NYM,KAN,9.58
Amed Rosario,2600,SS,NYM,KAN,11.32
Aaron Altherr,2000,OF,NYM,KAN,8.47
Scott Kingery,3300,3B,PHI,SDP,9.14
Rhys Hoskins,3700,1B,PHI,SDP,12.68
Jean Segura,3100,SS,PHI,SDP,9.76
J.T. Realmuto,3700,C,PHI,SDP,10.83
Corey Dickerson,3400,OF,PHI,SDP,10.93
Cesar Hernandez,2700,2B,PHI,SDP,8.82
Bryce Harper,4300,OF,PHI,SDP,13.26
Adam Haseley,2800,OF,PHI,SDP,9.74
Ty France,2100,3B,SDP,PHI,11.25
Manuel Margot,3100,OF,SDP,PHI,10.8
Manny Machado,3800,3B,SDP,PHI,12.3
Luis Urias,2400,SS,SDP,PHI,8.97
Josh Naylor,2700,OF,SDP,PHI,11.25
Hunter Renfroe,3000,OF,SDP,PHI,11.7
Francisco Mejia,2700,C,SDP,PHI,10.62
Eric Hosmer,3400,1B,SDP,PHI,11.84
Stephen Vogt,2300,C,SFG,ARI,12.32
Scooter Gennett,2500,2B,SFG,ARI,10.93
Mike Yastrzemski,3300,OF,SFG,ARI,14.23
Kevin Pillar,3400,OF,SFG,ARI,10.59
Evan Longoria,3200,3B,SFG,ARI,11.62
Brandon Crawford,2600,SS,SFG,ARI,9.46
Brandon Belt,2700,1B,SFG,ARI,10.89
Alex Dickerson,3200,OF,SFG,ARI,13.63
Shin-Soo Choo,3300,OF,TEX,MIN,11.94
Rougned Odor,3100,2B,TEX,MIN,10.84
Nomar Mazara,3400,OF,TEX,MIN,10.97
Logan Forsythe,2700,3B,TEX,MIN,8.13
Jose Trevino,2100,C,TEX,MIN,6.56
Isiah Kiner-Falefa,2400,3B,TEX,MIN,7.29
Hunter Pence,3800,OF,TEX,MIN,10.1
Elvis Andrus,3200,SS,TEX,MIN,10.07
Danny Santana,3600,1B,TEX,MIN,11.88
Victor Robles,3300,OF,WAS,MIL,10.25
Trea Turner,3700,SS,WAS,MIL,13.41
Matt Adams,3100,1B,WAS,MIL,12.66
Kurt Suzuki,2400,C,WAS,MIL,11.14
Juan Soto,4000,OF,WAS,MIL,15.18
Asdrubal Cabrera,2900,3B,WAS,MIL,10.94
Anthony Rendon,4200,3B,WAS,MIL,14.04
Adam Eaton,3300,OF,WAS,MIL,12.29
